Id,TestData,len,datetime,open,high,low,close,volume,openinterest,label,prediction,RandomSentimentStrat,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
20,TestData,20,2020-01-21 23:59:59.999989,8658.9912109375,8755.7060546875,8544.5205078125,8745.89453125,8745.89453125,24097418512.0,1.0,-1.0,RandomSentimentStrat,20,737445.9999999999,Broker,20,139120.73511663053,72074.31686527198,BuySell,20,,,Trades - Net Profit/Loss,20,,

21,TestData,21,2020-01-22 23:59:59.999989,8744.2109375,8792.994140625,8636.7470703125,8680.8759765625,8680.8759765625,22600204051.0,1.0,-1.0,RandomSentimentStrat,21,737446.9999999999,Broker,21,139120.73511663053,72572.75201059654,BuySell,21,,,Trades - Net Profit/Loss,21,,

22,TestData,22,2020-01-23 23:59:59.999989,8680.650390625,8687.7470703125,8333.6376953125,8406.515625,8406.515625,25770680779.0,1.0,-1.0,RandomSentimentStrat,22,737447.9999999999,Broker,22,139120.73511663053,74676.0107243533,BuySell,22,,,Trades - Net Profit/Loss,22,,

23,TestData,23,2020-01-24 23:59:59.999989,8405.5673828125,8514.6669921875,8266.8408203125,8445.4345703125,8445.4345703125,24397913026.0,1.0,-1.0,RandomSentimentStrat,23,737448.9999999999,Broker,23,139120.73511663053,74377.65635065259,BuySell,23,,,Trades - Net Profit/Loss,23,,

24,TestData,24,2020-01-25 23:59:59.999989,8440.119140625,8458.453125,8296.21875,8367.84765625,8367.84765625,19647331549.0,1.0,1.0,RandomSentimentStrat,24,737449.9999999999,Broker,24,139120.73511663053,74972.44110051202,BuySell,24,,,Trades - Net Profit/Loss,24,,

25,TestData,25,2020-01-26 23:59:59.999989,8364.41015625,8602.4013671875,8325.498046875,8596.830078125,8596.830078125,22177678796.0,1.0,-1.0,RandomSentimentStrat,25,737450.9999999999,Broker,25,139120.73511663053,73217.05162326823,BuySell,25,,,Trades - Net Profit/Loss,25,,

26,TestData,26,2020-01-27 23:59:59.999989,8597.30859375,8977.7265625,8597.30859375,8909.8193359375,8909.8193359375,28647338393.0,1.0,1.0,RandomSentimentStrat,26,737451.9999999999,Broker,26,139120.73511663053,70817.6619882231,BuySell,26,,,Trades - Net Profit/Loss,26,,

27,TestData,27,2020-01-28 23:59:59.999989,8912.5244140625,9358.58984375,8908.447265625,9358.58984375,9358.58984375,34398744403.0,1.0,-1.0,RandomSentimentStrat,27,737452.9999999999,Broker,27,139120.73511663053,67377.36722384396,BuySell,27,,,Trades - Net Profit/Loss,27,,

28,TestData,28,2020-01-29 23:59:59.999989,9357.470703125,9406.431640625,9269.4677734375,9316.6298828125,9316.6298828125,30682598115.0,1.0,-1.0,RandomSentimentStrat,28,737453.9999999999,Broker,28,139120.73511663053,67699.03415920137,BuySell,28,,,Trades - Net Profit/Loss,28,,

29,TestData,29,2020-01-30 23:59:59.999989,9316.0166015625,9553.1259765625,9230.8974609375,9508.9931640625,9508.9931640625,32378792851.0,1.0,-1.0,RandomSentimentStrat,29,737454.9999999999,Broker,29,139120.73511663053,66224.36865016649,BuySell,29,,,Trades - Net Profit/Loss,29,,

30,TestData,30,2020-01-31 23:59:59.999989,9508.3134765625,9521.7060546875,9230.7763671875,9350.529296875,9350.529296875,29432489719.0,1.0,1.0,RandomSentimentStrat,30,737455.9999999999,Broker,30,139120.73511663053,67439.15973634053,BuySell,30,,,Trades - Net Profit/Loss,30,,

31,TestData,31,2020-02-01 23:59:59.999989,9346.357421875,9439.3232421875,9313.2392578125,9392.875,9392.875,25922656496.0,1.0,1.0,RandomSentimentStrat,31,737456.9999999999,Broker,31,66038.1496444911,66038.1496444911,BuySell,31,9173.540668945312,,Trades - Net Profit/Loss,31,,-6014.908170897601

32,TestData,32,2020-02-02 23:59:59.999989,9389.8203125,9468.7978515625,9217.82421875,9344.365234375,9344.365234375,30835736946.0,1.0,1.0,RandomSentimentStrat,32,737457.9999999999,Broker,32,2067.993349972898,64480.23243506821,BuySell,32,9079.55685546875,,Trades - Net Profit/Loss,32,,

33,TestData,33,2020-02-03 23:59:59.999989,9344.68359375,9540.3720703125,9248.6337890625,9293.521484375,9293.521484375,30934096509.0,1.0,-1.0,RandomSentimentStrat,33,737458.9999999999,Broker,33,2067.993349972898,64140.64037061108,BuySell,33,,,Trades - Net Profit/Loss,33,,

34,TestData,34,2020-02-04 23:59:59.999989,9292.841796875,9331.265625,9112.8115234375,9180.962890625,9180.962890625,29893183716.0,1.0,-1.0,RandomSentimentStrat,34,737459.9999999999,Broker,34,2067.993349972898,63388.84678292422,BuySell,34,,,Trades - Net Profit/Loss,34,,

35,TestData,35,2020-02-05 23:59:59.999989,9183.416015625,9701.2998046875,9163.7041015625,9613.423828125,9613.423828125,35222060874.0,-1.0,1.0,RandomSentimentStrat,35,737460.9999999999,Broker,35,2067.993349972898,66277.31001710128,BuySell,35,,,Trades - Net Profit/Loss,35,,

36,TestData,36,2020-02-06 23:59:59.999989,9617.8212890625,9824.619140625,9539.818359375,9729.8017578125,9729.8017578125,37628823716.0,-1.0,1.0,RandomSentimentStrat,36,737461.9999999999,Broker,36,2067.993349972898,67054.61344967312,BuySell,36,,,Trades - Net Profit/Loss,36,,

37,TestData,37,2020-02-07 23:59:59.999989,9726.0029296875,9834.716796875,9726.0029296875,9795.943359375,9795.943359375,34522718159.0,-1.0,1.0,RandomSentimentStrat,37,737462.9999999999,Broker,37,2067.993349972898,67496.38186803546,BuySell,37,,,Trades - Net Profit/Loss,37,,

38,TestData,38,2020-02-08 23:59:59.999989,9793.0703125,9876.7490234375,9678.91015625,9865.119140625,9865.119140625,35172043762.0,1.0,-1.0,RandomSentimentStrat,38,737463.9999999999,Broker,38,2067.993349972898,67958.41596986944,BuySell,38,,,Trades - Net Profit/Loss,38,,

39,TestData,39,2020-02-09 23:59:59.999989,9863.89453125,10129.435546875,9850.392578125,10116.673828125,10116.673828125,35807884663.0,-1.0,1.0,RandomSentimentStrat,39,737464.9999999999,Broker,39,2067.993349972898,69638.58266984718,BuySell,39,,,Trades - Net Profit/Loss,39,,

40,TestData,40,2020-02-10 23:59:59.999989,10115.5595703125,10165.765625,9784.5634765625,9856.611328125,9856.611328125,39386548075.0,-1.0,1.0,RandomSentimentStrat,40,737465.9999999999,Broker,40,2067.993349972898,67901.59117604741,BuySell,40,,,Trades - Net Profit/Loss,40,,

41,TestData,41,2020-02-11 23:59:59.999989,9855.8916015625,10210.052734375,9729.3349609375,10208.236328125,10208.236328125,37648059389.0,-1.0,1.0,RandomSentimentStrat,41,737466.9999999999,Broker,41,2067.993349972898,70250.14059784925,BuySell,41,,,Trades - Net Profit/Loss,41,,

42,TestData,42,2020-02-12 23:59:59.999989,10202.3876953125,10393.611328125,10202.3876953125,10326.0546875,10326.0546875,43444303830.0,-1.0,1.0,RandomSentimentStrat,42,737467.9999999999,Broker,42,2067.993349972898,71037.06484893434,BuySell,42,,,Trades - Net Profit/Loss,42,,

43,TestData,43,2020-02-13 23:59:59.999989,10323.9609375,10457.626953125,10116.1611328125,10214.3798828125,10214.3798828125,49356071373.0,-1.0,1.0,RandomSentimentStrat,43,737468.9999999999,Broker,43,2067.993349972898,70291.1742041319,BuySell,43,,,Trades - Net Profit/Loss,43,,

44,TestData,44,2020-02-14 23:59:59.999989,10211.55078125,10321.99609375,10125.5341796875,10312.1162109375,10312.1162109375,43338264162.0,-1.0,1.0,RandomSentimentStrat,44,737469.9999999999,Broker,44,2067.993349972898,70943.96793867013,BuySell,44,,,Trades - Net Profit/Loss,44,,

45,TestData,45,2020-02-15 23:59:59.999989,10313.8564453125,10341.5556640625,9874.427734375,9889.4248046875,9889.4248046875,43865054831.0,-1.0,1.0,RandomSentimentStrat,45,737470.9999999999,Broker,45,2067.993349972898,68120.75668307384,BuySell,45,,,Trades - Net Profit/Loss,45,,

46,TestData,46,2020-02-16 23:59:59.999989,9889.1796875,10053.96875,9722.38671875,9934.43359375,9934.43359375,43374780305.0,-1.0,1.0,RandomSentimentStrat,46,737471.9999999999,Broker,46,131528.20063005362,65174.817700710264,BuySell,46,,10204.778281249999,Trades - Net Profit/Loss,46,759.9473455221464,

47,TestData,47,2020-02-17 23:59:59.999989,9936.560546875,9938.8154296875,9507.6376953125,9690.142578125,9690.142578125,45998298413.0,-1.0,1.0,RandomSentimentStrat,47,737472.9999999999,Broker,47,63833.259719698784,63833.259719698784,BuySell,47,9365.023129882813,,Trades - Net Profit/Loss,47,,-2964.83727031448

